model,acc_mean,acc_std,f1_macro_mean,f1_macro_std
XGBoost,0.8153352637256572,0.0018452279566229524,0.5751759031775079,0.004740435636919282
RF,0.7987849883608698,0.003349798444330865,0.5558991154817837,0.02415469063280873
GradientBoosting,0.7558053710327599,0.004655652075171712,0.48964529624677916,0.013436336640533952
LR,0.5884857775506729,0.0010219724067450087,0.33322872301403994,0.0018937670704402831
SGD,0.5621132118321694,0.004116277749389663,0.27775306830181906,0.0037575439332295235
AdaBoost,0.4308465338102538,0.0018452279566229524,0.051925776878945944,0.0011973451014371875
